Country,Year,HPI,HPIgrowth,Inflation_Rate,GDP,GDP_Growth_Rate,Total_Refugees,Total_Asylum,Totaldisplaced,Displacedgrowth,Population,HPI_Growth,Rugees_Growth,Refugees_per_1000,Housing_Supply
Denmark,2012,86.71,-2.704219030520658,2.3979148566464,326792574244.9627,-0.005432318693266325,11797,1539,13336,-9.897979866225254,5591572,-2.704219030520658,-11.870611086209474,2.1097823653169447,NA
Denmark,2013,90.09,3.8980509745127554,0.789071780078062,344631016965.12024,1.3926734701729515,13153,1605,14758,10.662867426514696,5614932,3.8980509745127554,11.494447740951088,2.342503880723756,NA
Denmark,2014,93.49,3.7740037740037646,0.56402054044954,352832602064.45154,1.277999793806444,17767,4268,22035,49.308849437593175,5643475,3.7740037740037646,35.07944955523455,3.148237566393047,NA
Denmark,2015,100,6.963311584126651,0.452034153691575,301758922337.6373,2.1044145871258735,27312,2931,30243,37.2498298162015,5683483,6.963311584126651,53.72319468677886,4.8055039488989415,2.9
Denmark,2016,104.57,4.569999999999993,0.250000000000031,312181849372.233,3.0730454747985476,33501,7001,40502,33.92189928247859,5728010,4.569999999999993,22.6603690685413,5.848628057562749,3.5
Denmark,2017,109.75,4.953619584967014,1.14713216957602,331610593961.98785,3.056477243935163,35668,4229,39897,-1.4937533948940793,5764980,4.953619584967014,6.4684636279514045,6.187011923718729,3.5
Denmark,2018,114.59,4.410022779043284,0.813609467455631,355293374912.39276,1.8600074888522613,36623,2675,39298,-1.5013660174950498,5793636,4.410022779043284,2.6774700011214536,6.321246277812413,4.4
Denmark,2019,117.13,2.216598307007585,0.75813157251162,345401473012.6152,1.7114009439059004,37533,1422,38955,-0.8728179551122194,5814422,2.216598307007585,2.484777325724272,6.455155817723584,4
Denmark,2020,122.18,4.311448817553156,0.420711974110115,355631021931.62103,-1.7801059882174997,36643,1331,37974,-2.5182903350019252,5831404,4.311448817553156,-2.371246636293395,6.2837354434712465,4.1
Denmark,2021,136.28,11.540350302831882,1.8530454398968,408378204639.99896,7.382066289775551,36023,1519,37542,-1.137620477168589,5856733,11.540350302831882,-1.6920012007750458,6.150698691574296,4.5
Denmark,2022,142.7,4.710889345465209,7.6965669988926,401945576107.9633,1.5401731070956686,67772,2776,70548,87.9175323637526,5903037,4.710889345465209,88.1353579657441,11.480869931867273,3.7
Denmark,2023,137.28,-3.798177995795366,3.30517811237606,407091920305.4043,2.495184331488943,68912,2356,71268,1.0205817315870047,5946952,-3.798177995795366,1.6821106061500324,11.587784801357063,2.4
Germany,2010,83.9,1.0843373493975972,1.1038103778926,3468154343000.007,4.146767545324366,594250,51930,646180,2.1366859397276903,81776930,-38.88403263403263,762.3316693754354,7.266719354712876,NA
Germany,2011,86.8,3.4564958283670935,2.07517283735874,3824828563521.408,3.757968865863475,571672,62654,634326,-1.834473366554211,80274983,3.4564958283670935,-3.799411022297013,7.121421626461136,NA
Germany,2012,89.8,3.4562211981566824,2.00848884782956,3597896500945.3135,0.47429130585554446,589735,85507,675242,6.450311038803392,80425823,3.4562211981566824,3.1596789767559015,7.332657323257979,NA
Germany,2013,92.6,3.1180400890868567,1.50472330251876,3808086291482.364,0.386224576109953,187545,135515,323060,-52.15641207152398,80645605,3.1180400890868567,-68.19842810753983,2.325545204850283,NA
Germany,2014,95.5,3.131749460043203,0.906794000434246,3965800686309.79,2.1694989287907873,216956,226147,443103,37.158113044016595,80982500,3.131749460043203,15.682102961955795,2.679047942456704,NA
Germany,2015,100,4.712041884816754,0.514426137125456,3423568450957.0293,1.652719771746277,316098,420570,736668,66.25209037176458,81686611,4.712041884816754,45.696823319013994,3.869642725170714,35
Germany,2016,107.5,7.5,0.491747008445174,3537784107980.553,2.2947106768428114,669468,587306,1256774,70.6024966470649,82348669,7.5,111.79127991951863,8.129676024271868,39.5
Germany,2017,114.1,6.139534883720925,1.50949485109628,3763092263752.9478,2.7160245193159227,970357,429265,1399622,11.366244050242925,82657002,6.139534883720925,44.944493239408004,11.739562003470681,37.6
Germany,2018,121.7,6.660823838737957,1.73216879766942,4052008447223.5264,1.1164431092622493,1063835,369239,1433074,2.390073891379244,82905782,6.660823838737957,9.633361742121714,12.831855322225897,38
Germany,2019,128.7,5.751848808545592,1.44565976888253,3957208055215.6797,0.9878933491675781,1146682,309231,1455913,1.5937069544210556,83092962,5.751848808545592,7.78757984085878,13.79998946240477,39.2
Germany,2020,138.7,7.770007770007771,0.144877925813982,3940142541354.0967,-4.095137490646891,1210596,243157,1453753,-0.14836051329990185,83160871,7.770007770007771,5.573820815186774,14.557278987614259,41.1
Germany,2021,154.7,11.535688536409518,3.06666666666673,4348297440387.527,3.669999861567348,1255694,253867,1509561,3.838891476062302,83196078,11.535688536409518,3.725272510399836,15.093187445687043,41.9
Germany,2022,162.5,5.042016806722697,6.87257438551097,4163596357879.3936,1.3697310553658468,2075445,261019,2336464,54.77771352068581,83797985,5.042016806722697,65.28270422571104,24.767242314955425,37.9
Germany,2023,148.7,-8.4923076923077,5.94643667725823,4525703903627.531,-0.2664384100909132,2593007,361493,2954500,26.451766429955693,83280000,-8.4923076923077,24.937398967450353,31.136011047070124,25.2
Estonia,2010,63.9,5.672234165702,2.97204512015694,19524355419.03797,2.4497459157554147,31,5,36,2.857142857142857,1331475,-57.0275722932078,-99.99880447681014,0.023282449914568428,NA
Estonia,2011,69.32,8.482003129890446,4.9819013145361,23303915794.756855,7.6069766353788,34,5,39,8.333333333333332,1327439,8.482003129890446,9.67741935483871,0.02561322968513054,NA
Estonia,2012,74.37,7.285054818234293,3.93339987296985,23237406116.398834,3.672021159311683,48,0,48,23.076923076923077,1322696,7.285054818234293,41.17647058823529,0.03628951777279133,NA
Estonia,2013,82.29,10.64945542557483,2.78056658954988,25451032780.757328,1.7564946118826583,52,15,67,39.58333333333333,1317997,10.64945542557483,8.333333333333332,0.03945380755798382,NA
Estonia,2014,93.58,13.719771539676742,-0.10617514652171,27055689003.003826,3.3227875359873167,82,84,166,147.76119402985074,1314545,13.719771539676742,57.692307692307686,0.06237899805636171,NA
Estonia,2015,100,6.860440265013894,-0.49232600654737,23311847750.93944,1.8381570483746685,158,73,231,39.1566265060241,1315407,6.860440265013894,92.6829268292683,0.12011491500349322,0.5
Estonia,2016,104.75,4.75,0.148684907627373,24561027787.789555,3.0930158344115455,312,43,355,53.67965367965368,1315790,4.75,97.46835443037975,0.23711990515203796,0.6
Estonia,2017,110.51,5.4988066825775705,3.41723549488054,27469461919.11887,5.634674322293947,405,36,441,24.225352112676056,1317384,5.4988066825775705,29.807692307692307,0.3074274471224791,0.7
Estonia,2018,117.07,5.936114378789239,3.43632688420446,31222632740.72468,3.69969444001093,319,30,349,-20.861678004535147,1321977,5.936114378789239,-21.23456790123457,0.2413052572019029,0.6
Estonia,2019,125.27,7.004356367984969,2.27725931243522,31873748770.031322,3.7266531817839734,331,33,364,4.297994269340974,1326898,7.004356367984969,3.761755485893417,0.24945398968119628,0.7
